,title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment
13,What Makes Eli Lilly  ( LLY )  a Strong Momentum Stock: Buy Now?,https://www.zacks.com/stock/news/2322724/what-makes-eli-lilly-lly-a-strong-momentum-stock-buy-now,20240815T160007,['Zacks Equity Research'],Does Eli Lilly (LLY) have what it takes to be a top stock pick for momentum investors? Let's find out.,https://staticx-tuner.zacks.com/images/default_article_images/default151.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Earnings', 'relevance_score': '0.310843'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.990999'}]",0.332142,Somewhat-Bullish,"[{'ticker': 'LLY', 'relevance_score': '0.575055', 'ticker_sentiment_score': '0.459043', 'ticker_sentiment_label': 'Bullish'}]"
14,Eli Lilly Unusual Options Activity For August 15 - Eli Lilly  ( NYSE:LLY ) ,https://www.benzinga.com/insights/options/24/08/40396876/eli-lilly-unusual-options-activity-for-august-15,20240815T141727,['Benzinga Insights'],"High-rolling investors have positioned themselves bearish on Eli Lilly LLY, and it's important for retail traders to take note. \This activity came to our attention today through Benzinga's tracking of publicly available options data.",https://www.benzinga.com/files/images/story/2024/1723731444_0.png,Benzinga,Markets,www.benzinga.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.87644'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",0.050417,Neutral,"[{'ticker': 'LLY', 'relevance_score': '0.764792', 'ticker_sentiment_score': '0.059792', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'WFC', 'relevance_score': '0.085936', 'ticker_sentiment_score': '-0.114125', 'ticker_sentiment_label': 'Neutral'}]"
15,"Pharma ETFs in Focus Post Solid Q2 Earnings - Bristol-Myers Squibb  ( NYSE:BMY ) , First Trust Nasdaq Pharmaceuticals ETF  ( NASDAQ:FTXH ) ",https://www.benzinga.com/news/earnings/24/08/40374036/pharma-etfs-in-focus-post-solid-q2-earnings,20240814T200034,['Zacks'],"The second-quarter results of the healthcare sector have been impressive, with earnings of 78.8% of the sector participants that have reported so far up 17.1% on 7.6% revenue growth. The earnings beat ratio of 85.7% and the revenue beat ratio of 75.5% are also assuring.",https://cdn.benzinga.com/files/images/story/2024/08/14/ani-kolleshi-7jjnj-qa9fy-unsplash.jpg?width=1200&height=800&fit=crop,Benzinga,General,www.benzinga.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.999992'}, {'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",0.188212,Somewhat-Bullish,"[{'ticker': 'LLY', 'relevance_score': '0.162255', 'ticker_sentiment_score': '0.196113', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'IVZ', 'relevance_score': '0.122062', 'ticker_sentiment_score': '0.082696', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PFE', 'relevance_score': '0.122062', 'ticker_sentiment_score': '0.074673', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JNJ', 'relevance_score': '0.122062', 'ticker_sentiment_score': '0.078615', 'ticker_sentiment_label': 'Neutral'}]"
16,Pharma ETFs in Focus Post Solid Q2 Earnings,https://www.zacks.com/stock/news/2322190/pharma-etfs-in-focus-post-solid-q2-earnings,20240814T154900,['Sweta Killa'],"Many industry bigwigs reported solid results, with some beating on earnings or revenues or both.",https://staticx-tuner.zacks.com/images/default_article_images/default125.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.999989'}, {'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Finance', 'relevance_score': '0.5'}]",0.173992,Somewhat-Bullish,"[{'ticker': 'LLY', 'relevance_score': '0.121445', 'ticker_sentiment_score': '0.166583', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'IVZ', 'relevance_score': '0.121445', 'ticker_sentiment_score': '0.071772', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PFE', 'relevance_score': '0.081138', 'ticker_sentiment_score': '0.066897', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JNJ', 'relevance_score': '0.121445', 'ticker_sentiment_score': '0.073403', 'ticker_sentiment_label': 'Neutral'}]"
17,"Philips  ( PHG )  Extends Isala Partnership, Boosts Customer Base",https://www.zacks.com/stock/news/2322111/philips-phg-extends-isala-partnership-boosts-customer-base,20240814T145900,['Zacks Equity Research'],"Philips (PHG) extends its partnership Isala hospital to optimize the latter's healthcare processes, expanding its customer base.",https://staticx-tuner.zacks.com/images/articles/main/40/1670.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Earnings', 'relevance_score': '0.838487'}, {'topic': 'Life Sciences', 'relevance_score': '0.5'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",0.438099,Bullish,"[{'ticker': 'ALC', 'relevance_score': '0.165409', 'ticker_sentiment_score': '0.168834', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'LLY', 'relevance_score': '0.219312', 'ticker_sentiment_score': '0.152684', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'DGX', 'relevance_score': '0.165409', 'ticker_sentiment_score': '0.168834', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'PHG', 'relevance_score': '0.272181', 'ticker_sentiment_score': '0.426059', 'ticker_sentiment_label': 'Bullish'}]"
18,Eli Lilly Smashed Estimates Thanks To Unbelievable Demand For Its Diabetes And Weight Loss Blockbusters - Eli Lilly  ( NYSE:LLY ) ,https://www.benzinga.com/news/24/08/40369350/eli-lilly-smashed-estimates-thanks-to-unbelievable-demand-for-its-diabetes-and-weight-loss-blockbust,20240814T142617,['Upwallstreet'],"On Thursday, Eli Lilly and Company LLY reported its second quarter results, smashing estimates fueled by the popularity of its blockbuster diabetes drug Mounjaro and weight loss injection Zepbound.",https://cdn.benzinga.com/files/fitness-training-concept-with-clipboard.jpg?width=1200&height=800&fit=crop,Benzinga,Markets,www.benzinga.com,"[{'topic': 'Earnings', 'relevance_score': '0.976913'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.650727'}]",0.160983,Somewhat-Bullish,"[{'ticker': 'LLY', 'relevance_score': '0.545493', 'ticker_sentiment_score': '0.328078', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'NVO', 'relevance_score': '0.322233', 'ticker_sentiment_score': '0.027024', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PFE', 'relevance_score': '0.322233', 'ticker_sentiment_score': '0.134024', 'ticker_sentiment_label': 'Neutral'}]"
19,Is Eli Lilly  ( LLY )  a Buy Post Stellar Q2 Earnings & Raised View?,https://www.zacks.com/stock/news/2321929/is-eli-lilly-lly-a-buy-post-stellar-q2-earnings-raised-view,20240814T133400,['Kinjel Shah'],Eli Lilly (LLY) is a great stock to have in one's portfolio currently based on its strong overall financial performance and robust drug pipeline.,https://staticx-tuner.zacks.com/images/articles/main/fc/588.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.99793'}, {'topic': 'Earnings', 'relevance_score': '0.996675'}, {'topic': 'Mergers & Acquisitions', 'relevance_score': '0.158519'}, {'topic': 'Economy - Macro', 'relevance_score': '0.158519'}]",0.368089,Bullish,"[{'ticker': 'LLY', 'relevance_score': '0.575926', 'ticker_sentiment_score': '0.550738', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'VKTX', 'relevance_score': '0.037504', 'ticker_sentiment_score': '0.105947', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMGN', 'relevance_score': '0.074926', 'ticker_sentiment_score': '0.111082', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVO', 'relevance_score': '0.074926', 'ticker_sentiment_score': '0.096786', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BIIB', 'relevance_score': '0.074926', 'ticker_sentiment_score': '0.187769', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
20,"The Zacks Analyst Blog Highlights Eli Lilly, Pfizer, AbbVie and Biogen",https://www.zacks.com/stock/news/2322034/the-zacks-analyst-blog-highlights-eli-lilly-pfizer-abbvie-and-biogen,20240814T124900,['Zacks Equity Research'],"Eli Lilly, Pfizer, AbbVie and Biogen are part of the Zacks top Analyst Blog.",https://staticx-tuner.zacks.com/images/articles/main/ce/3721.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.999365'}, {'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Mergers & Acquisitions', 'relevance_score': '0.684621'}]",0.252246,Somewhat-Bullish,"[{'ticker': 'LLY', 'relevance_score': '0.426105', 'ticker_sentiment_score': '0.33308', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'ABBV', 'relevance_score': '0.306144', 'ticker_sentiment_score': '0.197729', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'PFE', 'relevance_score': '0.199767', 'ticker_sentiment_score': '0.11812', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BIIB', 'relevance_score': '0.067221', 'ticker_sentiment_score': '0.10124', 'ticker_sentiment_label': 'Neutral'}]"
21,"Up 10% in 1 Day, Is It Too Late to Buy Eli Lilly Stock?",https://www.fool.com/investing/2024/08/14/up-10-in-1-day-is-it-too-late-to-buy-eli-lilly-sto/,20240814T103500,['Alex Carchidi'],How much upside could this juggernaut stock possibly have left?,https://g.foolcdn.com/editorial/images/786708/two-investors-look-at-figures.jpg,Motley Fool,n/a,www.fool.com,"[{'topic': 'Earnings', 'relevance_score': '0.980509'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.365926'}]",0.127343,Neutral,"[{'ticker': 'LLY', 'relevance_score': '0.335367', 'ticker_sentiment_score': '0.256055', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
22,"3 Big Drug Stocks to Watch on Raised 2024 Earnings & Sales View - AbbVie  ( NYSE:ABBV ) , Biogen  ( NASDAQ:BIIB ) ",https://www.benzinga.com/general/biotech/24/08/40344193/3-big-drug-stocks-to-watch-on-raised-2024-earnings-sales-view,20240813T172417,['Zacks'],"The second-quarter earnings season has come to an end for large drug and biotech companies, with Eli Lilly LLY reporting its results last week. Per the Zacks classification, the pharma/biotech industry comes under the broader Medical sector, which comprises pharma/biotech as well as medical ...",https://staticx-tuner.zacks.com/images/articles/charts/cf/74103.jpg?v=720680589,Benzinga,General,www.benzinga.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.998356'}, {'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Mergers & Acquisitions', 'relevance_score': '0.684621'}]",0.257179,Somewhat-Bullish,"[{'ticker': 'LLY', 'relevance_score': '0.422599', 'ticker_sentiment_score': '0.362428', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'ABBV', 'relevance_score': '0.296969', 'ticker_sentiment_score': '0.213455', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'PFE', 'relevance_score': '0.185484', 'ticker_sentiment_score': '0.134731', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BIIB', 'relevance_score': '0.04677', 'ticker_sentiment_score': '0.216503', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
